model,year,price,type,distance,fuel,tax,miles per galoon,size
4,2014,11200.0,0,67068.0,0,125.0,57.6,2.0
11,2017,18500.0,2,12160.0,0,145.0,65.7,2.0
2,2017,18300.0,2,20000.0,0,150.0,62.8,2.0
0,2019,29398.0,2,9983.0,3,145.0,39.8,3.0
2,2018,22998.0,2,16360.0,0,145.0,57.7,2.0
1,2016,10600.0,1,24313.0,0,0.0,74.3,1.5
3,2020,29500.0,2,17.0,0,145.0,60.1,2.0
4,2019,30000.0,0,10654.0,0,145.0,60.1,2.0
14,2019,33998.0,2,7272.0,0,150.0,42.8,2.0
0,2020,29998.0,2,934.0,0,150.0,48.7,2.0
3,2015,13995.0,1,33755.0,3,160.0,44.8,2.0
2,2018,16998.0,2,21879.0,3,150.0,51.4,1.5
13,2016,19000.0,0,42691.0,0,145.0,54.3,2.0
2,2017,17000.0,2,43362.0,0,145.0,56.5,3.0
2,2019,31000.0,2,1397.0,0,145.0,50.4,2.0
11,2013,8298.0,1,69020.0,0,125.0,57.6,2.0
12,2018,23900.0,2,3391.0,0,145.0,61.4,2.0
1,2015,11998.0,2,30738.0,0,20.0,68.9,2.0
2,2017,12450.0,0,72065.0,0,20.0,70.6,2.0
2,2019,33000.0,2,11564.0,0,145.0,49.6,2.0
1,2019,19750.0,2,9014.0,0,145.0,49.6,2.0
4,2014,11998.0,2,60681.0,0,125.0,57.6,2.0
3,2018,21998.0,2,15600.0,0,145.0,65.7,2.0
2,2015,16480.0,2,57377.0,0,165.0,51.4,3.0
13,2019,38900.0,2,3302.0,0,145.0,48.7,3.0
2,2017,12750.0,1,22153.0,0,150.0,68.9,2.0
14,2020,43000.0,2,857.0,0,145.0,40.9,3.0
13,2014,17495.0,2,54075.0,0,145.0,54.3,2.0
5,2019,32000.0,2,2500.0,3,150.0,42.8,2.0
2,2015,15998.0,2,47812.0,0,160.0,51.4,3.0
14,2017,22500.0,0,35016.0,0,150.0,54.3,2.0
15,2015,26000.0,0,52936.0,0,205.0,47.1,3.0
4,2018,27798.0,2,15711.0,0,145.0,60.1,3.0
2,2019,32990.0,2,5400.0,0,145.0,49.6,2.0
2,2018,20140.0,0,2674.0,0,145.0,64.2,2.0
0,2017,14698.0,2,24008.0,3,145.0,55.5,1.5
6,2016,33000.0,2,18190.0,3,200.0,40.4,3.0
15,2015,19991.0,0,62839.0,0,200.0,47.9,3.0
1,2015,9100.0,1,40789.0,0,0.0,74.3,1.5
4,2019,28500.0,2,3816.0,0,145.0,62.8,2.0
12,2019,29000.0,0,2472.0,0,145.0,48.7,2.0
0,2017,14995.0,1,19866.0,0,30.0,65.7,2.0
3,2019,24998.0,2,3214.0,0,150.0,65.7,2.0
2,2013,10200.0,1,56423.0,3,200.0,40.4,2.0
1,2016,20990.0,2,21924.0,3,260.0,37.2,3.0
0,2018,15000.0,0,10058.0,3,145.0,37.2,1.5
0,2017,11990.0,1,18435.0,3,125.0,53.3,1.5
15,2014,25000.0,0,38389.0,0,200.0,47.1,3.0
7,2019,50647.05545071274,2,2650.0,0,145.0,39.8,3.0
2,2018,20000.0,2,17892.0,0,145.0,60.1,2.0
1,2019,18498.0,2,4079.0,3,150.0,39.8,1.5
2,2017,10900.0,0,78345.0,0,0.0,74.3,2.0
15,2020,50647.05545071274,2,3500.0,0,145.0,33.6,3.0
1,2014,10498.0,1,52091.0,0,125.0,58.9,2.0
0,2016,13998.0,1,19188.0,0,20.0,70.6,1.5
4,2015,17998.0,2,41858.0,0,200.0,48.7,3.0
4,2016,13500.0,0,62444.0,0,125.0,60.1,2.0
12,2019,32000.0,2,10.0,3,145.0,34.0,2.0
4,2017,21900.0,2,23291.0,0,145.0,65.7,2.0
11,2016,14498.0,1,57717.0,0,125.0,58.9,2.0
2,2018,16291.0,2,25329.0,3,145.0,51.4,1.5
4,2016,15485.0,2,50492.0,0,30.0,62.8,2.0
2,2018,17620.0,0,20461.0,0,145.0,60.1,2.0
2,2015,9750.0,1,56038.0,0,20.0,68.9,2.0
2,2017,19650.0,2,43267.0,0,145.0,62.8,2.0
2,2018,17998.0,2,19950.0,0,145.0,65.7,2.0
4,2015,14998.0,2,45152.0,0,30.0,62.8,2.0
11,2017,21998.0,2,5020.0,0,145.0,60.1,2.0
18,2014,13498.0,1,22080.0,3,205.0,41.5,2.0
0,2016,8000.0,1,81579.0,0,0.0,83.1,1.5
6,2017,34000.0,2,25000.0,0,150.0,53.3,3.0
0,2016,18298.0,1,21236.0,3,260.0,36.2,3.0
2,2019,30000.0,1,5385.0,0,145.0,54.3,2.0
3,2018,22991.0,2,10990.0,0,145.0,65.7,2.0
11,2016,18498.0,2,25994.0,0,145.0,55.4,2.0
2,2019,35000.0,2,7685.0,0,145.0,48.7,2.0
0,2016,16998.0,1,21076.0,3,295.32841497346675,35.3,3.0
1,2017,13900.0,0,46281.0,3,125.0,51.4,1.5
2,2015,17200.0,2,6147.0,3,145.0,47.9,2.0
2,2019,34900.0,2,4600.0,0,145.0,49.6,2.0
2,2014,9900.0,0,63223.0,0,20.0,68.9,2.0
11,2016,18998.0,2,20259.0,0,145.0,55.4,2.0
